,icon_rain,cloudcover,precipcover,humidity,dew,tempmin,feelslikemin,solarenergy,temp,uvindex,icon_partly-cloudy-day,Precipitation
101,False,31.0,0.0,21.7,0.6,17.5,17.5,27.6,25.3,10,True,0.0
102,True,61.1,25.0,30.4,5.7,19.4,19.4,21.2,24.8,7,False,2.1
103,True,25.4,12.5,34.0,6.6,19.8,19.8,27.7,24.4,10,False,0.4
104,False,6.3,0.0,24.5,-0.1,16.8,16.8,31.5,23.0,10,False,0.0
105,False,0.4,0.0,19.1,-2.2,15.6,15.6,31.7,24.1,10,False,0.0
106,False,1.0,0.0,18.5,-1.8,16.8,16.8,31.4,24.9,10,False,0.0
107,True,5.8,25.0,25.2,1.8,16.7,16.7,28.7,24.2,10,False,4.5
108,True,0.9,12.5,30.6,4.0,16.1,16.1,30.2,24.3,10,False,0.3
109,False,0.2,0.0,21.6,-0.4,17.6,17.6,30.7,24.6,10,False,0.0
110,False,0.6,0.0,15.9,-4.3,16.2,16.2,32.4,25.6,10,False,0.0
111,True,2.6,4.17,15.2,-4.0,18.1,18.1,31.4,26.4,10,False,0.1
112,True,8.6,70.83,36.2,7.1,17.2,17.2,27.5,24.0,9,False,2.4
113,True,3.3,20.83,43.0,8.0,15.9,15.9,27.5,22.7,10,False,0.7
114,False,5.6,0.0,27.4,1.4,14.8,14.8,29.3,22.4,10,False,0.0
115,False,1.2,0.0,24.2,0.6,15.2,15.2,31.8,23.5,10,False,0.0
116,False,0.6,0.0,19.9,-1.2,17.9,17.9,32.2,25.0,10,False,0.0
117,False,2.1,0.0,22.9,1.2,16.4,16.4,30.2,24.9,10,False,0.0
118,False,37.0,0.0,28.4,4.8,18.9,18.9,27.4,25.6,10,True,0.0
119,True,30.1,54.17,36.8,7.7,19.2,19.2,28.5,24.7,10,False,4.0
120,False,62.1,0.0,45.4,8.7,17.3,17.3,21.4,22.1,7,True,0.0
121,False,18.7,0.0,32.5,2.1,13.8,13.8,32.1,21.6,10,False,0.0
122,True,76.2,50.0,33.8,3.2,16.4,16.4,20.0,21.3,7,False,3.0
123,True,48.9,50.0,51.2,9.8,16.0,16.0,22.8,20.9,8,False,1.5
124,True,25.4,41.67,53.5,11.0,16.1,16.1,25.1,21.7,9,False,3.0
125,False,14.9,0.0,49.2,9.2,14.6,14.6,28.5,21.8,10,False,0.0
126,False,5.4,0.0,40.4,7.0,14.1,14.1,31.1,22.7,10,False,0.0
127,False,6.1,0.0,36.7,6.7,15.3,15.3,30.9,23.6,10,False,0.0
128,True,30.4,50.0,47.2,10.0,17.6,17.6,23.3,22.5,8,False,3.2
129,True,8.8,16.67,49.1,9.4,14.7,14.7,29.1,22.2,10,False,0.9
130,False,2.8,0.0,37.7,6.5,15.0,15.0,31.4,23.9,10,False,0.0
131,False,39.6,0.0,41.8,8.8,17.7,17.7,24.6,23.2,9,True,0.0
132,False,32.1,0.0,42.2,8.7,16.4,16.4,27.7,23.5,9,True,0.0
133,False,2.7,0.0,29.6,4.7,18.0,18.0,32.0,25.1,10,False,0.0
134,False,7.9,0.0,30.1,6.0,18.3,18.3,30.7,25.7,10,False,0.0
135,False,38.5,0.0,35.6,8.8,19.7,19.7,25.2,25.9,10,True,0.0
136,True,16.6,29.17,37.9,9.2,19.5,19.5,28.0,26.3,9,False,0.8
137,True,7.3,54.17,34.0,7.3,17.8,17.8,29.0,25.5,10,False,6.4
138,True,11.8,75.0,44.1,10.4,18.5,18.5,28.1,24.5,10,False,6.5
139,True,18.8,100.0,53.1,12.8,19.2,19.2,25.3,23.6,9,False,15.1
140,True,8.5,37.5,60.5,13.7,17.7,17.7,27.5,22.4,10,False,9.3
141,False,5.7,0.0,55.2,13.1,17.4,17.4,29.7,23.3,10,False,0.0
142,True,12.3,45.83,56.0,13.3,17.3,17.3,28.4,23.4,10,False,4.7
143,True,12.9,16.67,50.4,11.9,19.5,19.5,30.6,24.3,10,False,0.6
144,False,10.0,0.0,49.2,11.4,16.9,16.9,27.2,23.7,10,False,0.0
145,True,24.1,4.17,49.1,12.3,18.1,18.1,27.6,24.6,10,False,0.1
146,True,13.6,54.17,59.0,13.5,17.9,17.9,25.1,22.5,8,False,20.2
147,True,8.1,37.5,60.4,13.0,15.8,15.8,30.0,22.1,10,False,4.7
148,True,61.5,62.5,72.1,15.5,17.6,17.6,16.0,21.0,6,False,2.3
149,True,63.0,70.83,85.0,17.8,18.3,18.3,14.5,20.6,6,False,29.5
150,True,47.2,100.0,83.0,17.5,17.4,17.4,25.2,20.7,9,False,39.8
151,True,51.4,100.0,81.9,17.2,17.2,17.2,21.3,20.7,8,False,22.9
152,True,65.9,87.5,87.7,17.9,17.9,17.9,13.0,20.1,5,False,11.7
153,True,23.9,91.67,82.6,18.0,17.6,17.6,24.8,21.3,9,False,4.9
154,True,42.3,75.0,83.8,18.9,18.5,18.5,25.4,22.0,9,False,6.3
155,True,26.7,66.67,81.4,18.1,17.8,17.8,24.3,21.6,9,False,6.4
156,True,32.6,100.0,79.9,17.6,17.2,17.2,25.4,21.5,9,False,8.4
157,True,44.7,100.0,84.0,18.1,18.3,18.3,21.1,21.1,9,False,10.2
158,True,33.5,37.5,81.1,17.1,17.1,17.1,26.2,20.8,9,False,2.4
159,True,16.8,45.83,78.0,17.1,16.8,16.8,28.2,21.4,10,False,2.3
160,True,26.8,62.5,78.8,17.8,18.0,18.0,27.0,21.9,10,False,12.3
161,True,58.2,87.5,84.6,19.0,18.3,18.3,22.7,21.9,8,False,5.3
162,True,75.6,75.0,88.7,18.9,18.7,18.7,15.3,21.0,6,False,6.2
163,True,91.3,70.83,94.9,20.0,19.6,19.6,7.1,20.9,2,False,12.1
164,True,96.6,100.0,92.7,18.3,17.8,17.8,11.3,19.6,4,False,46.0
165,True,87.6,100.0,90.0,17.1,16.7,16.7,16.4,18.8,6,False,45.1
166,True,91.7,95.83,90.9,16.9,16.4,16.4,9.2,18.5,3,False,4.9
167,True,70.6,100.0,90.3,17.5,16.8,16.8,14.2,19.1,5,False,20.3
168,True,56.4,45.83,85.5,17.6,16.8,16.8,22.8,20.3,8,False,5.1
169,True,88.5,66.67,90.8,19.0,17.9,17.9,19.8,20.7,8,False,4.6
170,True,91.4,91.67,86.4,19.0,18.3,18.3,22.8,21.6,9,False,3.6
171,True,90.8,79.17,87.6,18.2,17.9,17.9,18.3,20.5,7,False,3.7
172,True,94.4,79.17,85.6,16.7,16.3,16.3,18.5,19.3,7,False,5.3
173,True,81.7,83.33,84.0,16.6,17.0,17.0,15.6,19.5,5,False,16.8
174,True,50.3,70.83,86.3,18.3,17.2,17.2,25.2,20.7,9,False,23.0
175,True,87.6,100.0,93.7,18.5,16.5,16.5,13.4,19.5,6,False,124.7
176,True,96.2,100.0,89.5,16.1,16.1,16.1,9.1,17.8,4,False,50.4
177,True,78.6,91.67,87.7,17.1,16.6,16.6,17.7,19.2,6,False,19.6
178,True,48.3,70.83,83.0,17.2,17.0,17.0,24.3,20.2,9,False,3.6
179,True,79.2,58.33,87.1,17.3,16.3,16.3,24.6,19.6,9,False,4.0
180,True,88.3,79.17,82.8,17.1,15.4,15.4,27.7,20.3,10,False,12.4
181,True,88.2,87.5,91.0,18.2,18.3,18.3,14.7,19.8,5,False,19.2
182,True,92.5,83.33,87.9,18.1,17.4,17.4,15.8,20.2,7,False,4.5
183,True,90.2,75.0,86.7,18.0,18.1,18.1,15.6,20.3,6,False,5.3
184,True,84.7,91.67,85.2,17.3,16.0,16.0,22.2,20.0,9,False,23.3
185,True,81.4,79.17,92.4,18.7,18.3,18.3,9.5,20.0,4,False,16.1
186,True,87.9,100.0,92.2,17.9,17.5,17.5,12.4,19.3,5,False,18.5
187,True,94.8,95.83,94.0,18.5,17.1,17.1,8.0,19.5,3,False,7.9
188,True,93.3,100.0,94.9,18.9,18.2,18.2,9.2,19.8,4,False,3.6
189,True,93.5,95.83,92.1,18.2,17.6,17.6,8.9,19.6,3,False,16.3
190,True,73.6,100.0,87.9,16.6,15.7,15.7,15.2,18.8,7,False,11.8
191,True,39.3,66.67,87.2,18.1,17.2,17.2,22.9,20.4,9,False,4.7
192,True,94.6,79.17,90.5,18.0,18.2,18.2,10.9,19.7,4,False,3.4
193,True,96.5,83.33,93.7,17.8,16.9,16.9,8.2,18.9,4,False,2.5
194,True,96.2,100.0,93.4,17.1,15.6,15.6,7.4,18.2,3,False,46.3
195,True,91.2,100.0,90.3,17.9,17.4,17.4,11.4,19.6,5,False,25.7
196,True,96.5,66.67,92.5,18.5,18.1,18.1,12.6,19.8,6,False,13.2
197,True,88.1,95.83,92.5,18.0,17.4,17.4,17.7,19.3,7,False,47.6
198,True,94.5,87.5,93.5,17.7,17.1,17.1,11.1,18.8,5,False,17.6
199,True,91.4,91.67,92.5,18.1,17.3,17.3,11.9,19.3,4,False,18.1
200,True,96.3,100.0,94.0,17.3,16.5,16.5,7.4,18.3,3,False,37.0
201,True,89.8,100.0,89.3,16.1,15.5,15.5,15.1,18.0,6,False,34.3
202,True,65.0,100.0,90.6,17.0,16.2,16.2,13.7,18.6,5,False,15.4
203,True,47.2,100.0,88.3,17.8,17.2,17.2,20.3,19.8,7,False,9.6
204,True,77.8,100.0,94.6,18.7,17.8,17.8,12.1,19.6,5,False,13.9
205,True,88.2,100.0,95.1,18.4,17.5,17.5,9.9,19.2,3,False,9.7
206,True,77.0,100.0,92.2,18.7,17.5,17.5,17.8,20.1,7,False,17.8
207,True,87.1,37.5,91.9,18.3,18.2,18.2,17.1,19.7,7,False,6.5
208,True,76.7,62.5,92.3,18.4,17.5,17.5,17.5,19.7,7,False,36.1
209,True,94.9,100.0,95.8,18.3,17.4,17.4,5.6,19.0,2,False,42.9
210,True,94.6,100.0,94.8,17.5,16.4,16.4,6.2,18.3,2,False,25.9
211,True,90.4,100.0,96.1,17.9,17.0,17.0,6.5,18.5,3,False,26.2
212,True,65.9,100.0,91.2,17.1,16.0,16.0,16.2,18.6,6,False,22.5
213,True,55.0,100.0,87.8,17.0,16.2,16.2,20.4,19.1,8,False,12.2
214,True,77.8,100.0,95.7,18.1,17.0,17.0,8.8,18.8,3,False,20.8
215,True,65.5,100.0,91.2,17.1,16.0,16.0,16.3,18.7,6,False,16.6
216,True,47.3,95.83,87.4,16.6,15.7,15.7,19.2,18.9,7,False,6.0
217,True,26.6,58.33,87.0,16.7,15.1,15.1,23.3,19.0,9,False,9.2
218,True,49.9,100.0,87.7,17.4,16.8,16.8,19.7,19.6,8,False,24.3
219,True,64.8,75.0,89.7,16.8,16.4,16.4,12.9,18.6,5,False,11.7
220,True,73.7,75.0,89.4,16.1,15.2,15.2,15.1,18.0,6,False,14.3
221,True,69.2,83.33,88.2,16.3,16.3,16.3,14.3,18.4,6,False,7.2
222,True,76.3,75.0,81.8,14.8,15.8,15.8,12.8,18.0,4,False,10.0
223,True,61.8,83.33,91.8,15.8,14.7,14.7,12.8,17.2,5,False,35.1
224,True,59.7,100.0,91.3,16.2,15.5,15.5,14.9,17.8,7,False,34.8
225,True,83.0,100.0,92.2,15.5,15.1,15.1,10.6,16.8,5,False,53.5
226,True,81.0,100.0,90.5,14.8,13.9,13.9,11.2,16.4,4,False,71.4
227,True,56.2,87.5,84.8,15.0,15.4,15.4,18.4,17.7,7,False,6.0
228,True,44.0,62.5,89.5,16.5,14.8,14.8,18.0,18.3,7,False,4.9
229,True,60.2,100.0,92.3,16.8,15.5,15.5,15.5,18.1,6,False,8.1
230,True,37.0,37.5,89.0,15.0,14.0,14.0,19.4,16.9,8,False,0.9
231,True,19.8,62.5,80.9,13.2,12.8,12.8,23.1,16.8,9,False,5.0
232,True,9.2,12.5,80.0,13.5,14.1,14.1,23.9,17.3,9,False,0.3
233,False,8.2,0.0,74.1,12.3,13.4,13.4,22.4,17.1,8,False,0.0
234,False,3.5,0.0,74.9,12.3,13.3,13.3,24.2,17.1,9,False,0.0
235,False,0.8,0.0,70.2,11.3,12.6,12.6,24.4,17.1,9,False,0.0
236,False,2.3,0.0,67.5,10.5,12.8,12.8,24.3,16.9,9,False,0.0
237,False,1.3,0.0,66.7,10.4,12.1,12.1,24.0,17.0,9,False,0.0
238,True,5.6,25.0,72.6,12.0,13.1,13.1,23.5,17.3,9,False,3.3
239,False,2.9,0.0,75.5,12.5,13.3,13.3,23.2,17.2,9,False,0.0
240,False,2.8,0.0,68.3,10.4,12.4,12.4,22.5,16.5,9,False,0.0
241,False,12.1,0.0,68.6,10.3,12.7,12.7,21.3,16.3,8,False,0.0
242,False,51.1,0.0,80.5,12.6,13.0,13.0,14.9,16.1,6,True,0.0
243,False,62.7,0.0,84.2,12.8,12.7,12.7,12.8,15.7,6,True,0.0
244,False,26.5,0.0,78.0,11.3,10.5,10.5,19.0,15.4,8,True,0.0
245,False,20.7,0.0,83.6,13.0,13.0,13.0,20.3,16.0,8,True,0.0
246,False,30.2,0.0,84.1,12.9,12.3,12.3,18.9,15.8,8,True,0.0
247,False,14.4,0.0,80.9,11.8,12.1,12.1,20.9,15.4,9,False,0.0
248,False,6.9,0.0,74.7,10.4,11.5,11.5,21.0,15.1,8,False,0.0
249,False,1.6,0.0,73.6,9.9,10.8,10.8,21.6,14.9,9,False,0.0
250,False,4.6,0.0,76.1,10.7,10.7,10.7,21.6,15.1,9,False,0.0
251,False,4.6,0.0,77.6,11.8,11.2,11.2,20.9,15.9,9,False,0.0
252,False,4.1,0.0,76.1,12.6,12.3,12.3,20.9,17.1,8,False,0.0
253,False,9.2,0.0,77.0,13.2,14.0,14.0,20.5,17.5,8,False,0.0
254,False,37.2,0.0,85.5,14.4,14.1,14.1,17.4,17.0,7,True,0.0
255,False,52.2,0.0,91.3,15.2,14.2,14.2,10.9,16.6,5,True,0.0
256,False,25.7,0.0,83.2,13.9,13.9,13.9,18.5,17.1,8,True,0.0
257,False,5.5,0.0,74.2,11.4,11.9,11.9,19.9,16.3,8,False,0.0
258,True,17.3,50.0,72.8,9.9,10.9,10.9,18.2,14.9,8,False,4.1
259,True,28.1,87.5,75.9,8.9,8.9,7.7,16.2,13.4,6,False,4.6
260,False,28.1,0.0,76.3,8.5,8.6,7.4,15.3,12.8,6,True,0.0
261,False,0.0,0.0,57.8,4.7,8.8,7.7,20.4,13.3,8,False,0.0
262,False,0.0,0.0,48.7,2.1,8.6,7.7,20.5,13.1,8,False,0.0
263,False,0.0,0.0,50.6,2.7,8.9,7.9,20.4,13.1,8,False,0.0
264,False,0.0,0.0,49.1,1.3,7.7,6.5,19.9,12.1,8,False,0.0
265,False,0.1,0.0,46.1,0.8,7.5,5.9,20.4,12.6,8,False,0.0
266,False,33.1,0.0,52.3,3.4,9.0,8.3,19.7,13.6,8,True,0.0
267,False,39.7,0.0,65.2,6.9,10.6,10.6,17.5,13.4,8,True,0.0
268,False,28.7,0.0,58.9,4.8,9.9,9.5,17.3,12.9,7,True,0.0
269,False,1.0,0.0,61.6,5.1,8.8,8.8,18.7,12.6,8,False,0.0
270,False,0.4,0.0,64.3,5.9,9.3,9.3,18.7,12.8,8,False,0.0
271,False,0.0,0.0,64.4,6.2,8.6,8.6,18.5,13.0,8,False,0.0
272,False,0.1,0.0,62.8,6.2,8.9,8.9,18.3,13.3,8,False,0.0
273,False,0.0,0.0,59.6,6.2,10.0,9.7,18.3,14.2,8,False,0.0
274,False,5.2,0.0,56.4,5.1,10.5,10.5,18.2,14.2,8,False,0.0
275,False,1.4,0.0,56.5,4.7,9.9,9.0,18.4,13.9,8,False,0.0
276,False,22.7,0.0,52.7,3.9,9.7,9.0,18.3,13.9,8,True,0.0
277,False,46.4,0.0,52.2,3.5,10.3,10.3,16.1,13.9,7,True,0.0
278,False,4.4,0.0,60.4,4.8,8.4,7.7,18.2,12.7,8,False,0.0
279,False,7.9,0.0,55.6,3.9,9.7,9.7,17.3,12.9,8,False,0.0
280,False,0.0,0.0,55.5,3.1,8.2,8.1,17.7,12.1,8,False,0.0
281,False,4.3,0.0,51.5,1.0,6.5,5.4,16.9,11.4,7,False,0.0
282,True,0.0,12.5,48.4,0.8,6.6,5.6,16.8,11.6,7,False,4.2
283,False,0.8,0.0,49.9,1.8,7.2,5.4,16.9,12.4,7,False,0.0
284,True,15.5,16.67,60.4,4.1,7.8,6.4,14.9,12.1,7,False,0.5
285,False,37.9,0.0,63.4,5.7,8.8,7.7,14.8,12.9,7,True,0.0
286,True,57.7,75.0,75.0,7.1,9.0,8.7,10.0,11.5,4,False,12.5
287,False,23.7,0.0,71.6,5.6,7.5,7.5,13.8,10.7,6,True,0.0
288,False,18.8,0.0,71.4,3.9,5.5,5.5,15.0,9.1,7,False,0.0
289,False,0.0,0.0,56.8,1.6,5.6,4.7,16.8,10.4,7,False,0.0
290,True,41.1,4.17,51.1,0.5,6.4,4.8,14.9,10.9,7,False,0.1
291,False,12.6,0.0,50.4,1.0,7.2,6.0,15.9,11.4,7,False,0.0
292,True,13.6,33.33,50.2,1.0,6.3,4.5,14.3,11.4,6,False,0.9
293,True,32.0,20.83,62.7,5.8,9.6,8.8,10.3,12.9,5,False,0.5
294,False,0.1,0.0,48.5,1.3,8.1,6.8,16.3,12.7,7,False,0.0
295,False,2.1,0.0,53.8,2.1,7.9,6.8,16.1,11.9,7,False,0.0
296,False,0.0,0.0,54.3,0.3,5.9,4.5,16.4,10.2,7,False,0.0
297,False,0.0,0.0,47.6,-2.1,4.4,2.6,16.3,9.3,7,False,0.0
298,False,0.0,0.0,42.8,-4.1,2.3,-0.3,16.4,8.7,7,False,0.0
299,False,0.0,0.0,47.7,-1.8,5.8,5.5,15.8,9.5,7,False,0.0
300,False,0.0,0.0,52.9,-1.1,4.3,3.1,15.8,8.6,7,False,0.0
301,False,0.0,0.0,49.6,-1.8,4.1,2.7,15.7,8.6,7,False,0.0
302,False,0.0,0.0,46.5,-2.2,5.2,4.8,15.8,9.2,7,False,0.0
303,False,0.0,0.0,41.2,-4.1,4.0,2.0,15.8,9.2,7,False,0.0
304,False,0.4,0.0,35.5,-4.83,4.1,1.5,16.1,9.6,7,False,0.0
305,False,0.0,0.0,34.9,-4.83,4.6,2.4,15.9,9.6,7,False,0.0
306,False,0.0,0.0,35.0,-4.83,4.3,2.4,16.1,9.5,7,False,0.0
307,False,1.3,0.0,44.7,-2.2,4.8,3.4,15.5,9.7,7,False,0.0
308,False,12.1,0.0,56.7,0.0,4.5,3.1,13.5,8.6,6,False,0.0
309,False,6.1,0.0,56.9,-1.4,3.1,1.1,15.2,7.5,7,False,0.0
310,False,5.9,0.0,53.2,-2.7,0.7,-1.9,15.3,7.3,7,False,0.0
